sample	var_count	new_count	tot_captured	pct_captured
NA21137	112	112	112	0.056
HG03814	104	44	156	0.078
HG03452	92	28	184	0.092
NA19320	104	28	212	0.106
HG02888	102	36	248	0.124
HG01248	98	14	262	0.131
HG01965	56	14	276	0.138
HG02536	78	16	292	0.146
HG01882	96	20	312	0.156
NA19792	114	12	324	0.162
NA18877	52	10	334	0.167
HG03631	106	6	340	0.17
NA20906	110	12	352	0.176
NA18645	90	8	360	0.18
HG02651	88	10	370	0.185
NA19383	88	6	376	0.188
NA18648	102	6	382	0.191
HG00641	98	12	394	0.197
NA19474	62	10	404	0.202
NA20320	114	28	432	0.216
