sample	var_count	new_count	tot_captured	pct_captured
NA12872	89	89	89	0.0447
HG03814	92	41	130	0.0654
HG01395	84	14	144	0.0724
NA19475	95	34	178	0.0895
HG02715	92	28	206	0.1036
HG00557	79	14	220	0.1106
HG01102	73	15	235	0.1181
HG00181	77	9	244	0.1227
HG02508	83	16	260	0.1307
NA20752	65	8	268	0.1347
HG03793	79	7	275	0.1383
NA19462	73	10	285	0.1433
HG02573	77	17	302	0.1518
NA18520	51	4	306	0.1538
HG02107	88	14	320	0.1609
HG01932	76	5	325	0.1634
NA20320	96	22	347	0.1745
NA20906	96	10	357	0.1795
HG01372	81	4	361	0.1815
HG02603	72	4	365	0.1835
