sample	var_count	new_count	tot_captured	pct_captured
HG03858	101	101	101	0.0505
NA20320	96	45	146	0.073
NA19093	84	37	183	0.0915
NA18876	89	26	209	0.1045
HG03391	88	24	233	0.1165
HG02429	80	22	255	0.1275
HG02508	83	18	273	0.1365
HG02666	78	17	290	0.145
NA19351	89	16	306	0.153
HG01362	88	15	321	0.1605
HG01048	90	13	334	0.167
HG01867	84	13	347	0.1735
HG02107	88	13	360	0.18
HG02621	85	13	373	0.1865
HG02479	66	12	385	0.1925
NA19238	63	12	397	0.1985
HG03900	81	11	408	0.204
NA19043	85	11	419	0.2095
HG02840	80	10	429	0.2145
HG03558	89	10	439	0.2195
