sample	var_count	new_count	tot_captured	pct_captured
NA19099	49	49	49	0.049
HG03770	47	24	73	0.073
HG02666	48	18	91	0.091
NA18523	35	16	107	0.107
HG03517	37	12	119	0.119
HG01108	36	11	130	0.13
HG02107	45	11	141	0.141
HG02549	41	10	151	0.151
HG02429	39	9	160	0.16
HG02736	36	9	169	0.169
HG02455	36	8	177	0.177
HG02888	35	8	185	0.185
HG03189	39	8	193	0.193
HG01048	42	7	200	0.2
HG02604	35	6	206	0.206
HG03378	40	6	212	0.212
NA18982	33	6	218	0.218
NA19309	33	6	224	0.224
NA20320	39	6	230	0.23
HG01872	40	5	235	0.235
HG02558	31	5	240	0.24
HG03616	36	5	245	0.245
NA19238	24	5	250	0.25
NA19391	36	5	255	0.255
NA19467	34	5	260	0.26
NA20588	34	5	265	0.265
HG00100	36	4	269	0.269
HG01402	31	4	273	0.273
HG01847	35	4	277	0.277
HG01861	37	4	281	0.281
HG01965	39	4	285	0.285
HG02255	26	4	289	0.289
HG02594	28	4	293	0.293
HG02595	30	4	297	0.297
HG02982	31	4	301	0.301
HG03074	33	4	305	0.305
HG03558	38	4	309	0.309
HG03611	36	4	313	0.313
HG03684	39	4	317	0.317
HG03727	35	4	321	0.321
HG03731	40	4	325	0.325
HG03897	36	4	329	0.329
HG04182	34	4	333	0.333
NA18547	42	4	337	0.337
NA18981	32	4	341	0.341
NA19314	37	4	345	0.345
NA19379	27	4	349	0.349
NA20294	32	4	353	0.353
HG00365	34	3	356	0.356
HG00379	31	3	359	0.359
