sample	var_count	new_count	tot_captured	pct_captured
HG02666	61	61	61	0.061
HG02107	52	29	90	0.09
NA18499	51	25	115	0.115
HG01956	42	20	135	0.135
NA19380	45	18	153	0.153
HG02613	50	17	170	0.17
HG01786	47	12	182	0.182
NA19043	48	9	191	0.191
HG02837	43	8	199	0.199
HG03473	45	8	207	0.207
HG01886	56	7	214	0.214
HG03238	47	7	221	0.221
NA19035	45	7	228	0.228
NA19914	52	7	235	0.235
HG00273	37	6	241	0.241
HG01108	46	6	247	0.247
HG02073	54	6	253	0.253
HG03640	36	6	259	0.259
HG03708	29	6	265	0.265
HG01079	34	5	270	0.27
HG02573	41	5	275	0.275
HG02968	41	5	280	0.28
HG03478	48	5	285	0.285
HG03727	33	5	290	0.29
NA12829	32	5	295	0.295
NA19901	34	5	300	0.3
NA19913	48	5	305	0.305
HG01954	54	4	309	0.309
HG01971	42	4	313	0.313
HG02029	37	4	317	0.317
HG02057	50	4	321	0.321
HG02594	27	4	325	0.325
HG02658	28	4	329	0.329
HG02970	33	4	333	0.333
NA12144	43	4	337	0.337
NA18916	46	4	341	0.341
NA18986	48	4	345	0.345
NA19319	28	4	349	0.349
NA20320	33	4	353	0.353
NA20587	42	4	357	0.357
NA20809	56	4	361	0.361
NA20810	32	4	365	0.365
HG00355	44	3	368	0.368
HG00451	47	3	371	0.371
HG00473	47	3	374	0.374
HG01063	33	3	377	0.377
HG01131	46	3	380	0.38
HG01779	49	3	383	0.383
HG01869	50	3	386	0.386
HG01965	43	3	389	0.389
