sample	var_count	new_count	tot_captured	pct_captured
HG00096	59	59	59	0.0295
NA20906	96	63	122	0.061
HG02107	88	39	161	0.0805
NA20320	96	34	195	0.0975
HG02852	87	27	222	0.111
HG02621	85	22	244	0.122
NA18523	76	22	266	0.133
HG02429	80	19	285	0.1425
HG02623	77	18	303	0.1515
HG03189	83	15	318	0.159
NA19238	63	15	333	0.1665
HG03517	81	14	347	0.1735
HG01048	90	13	360	0.18
HG01362	88	12	372	0.186
HG02479	66	12	384	0.192
HG03078	83	12	396	0.198
HG03900	81	12	408	0.204
HG01867	84	11	419	0.2095
HG03378	83	11	430	0.215
HG00557	79	10	440	0.22
