sample	var_count	new_count	tot_captured	pct_captured
NA19792	115	115	115	0.0578
NA19043	93	45	160	0.0804
HG02610	97	37	197	0.099
HG04003	100	36	233	0.1171
NA19380	97	33	266	0.1337
HG02107	95	23	289	0.1452
HG02613	100	20	309	0.1553
HG02574	92	17	326	0.1638
HG03166	91	17	343	0.1724
NA20320	90	16	359	0.1804
NA19308	62	15	374	0.1879
HG03521	74	14	388	0.195
NA19351	95	14	402	0.202
HG01867	104	12	414	0.208
HG03858	109	12	426	0.2141
NA19035	88	12	438	0.2201
HG02621	104	11	449	0.2256
HG02029	89	10	459	0.2307
NA19914	83	10	469	0.2357
HG01948	100	9	478	0.2402
HG02623	68	9	487	0.2447
HG02852	100	9	496	0.2492
HG03175	70	9	505	0.2538
NA19238	79	9	514	0.2583
HG02635	94	8	522	0.2623
HG02840	102	8	530	0.2663
HG00273	64	7	537	0.2698
HG01894	75	7	544	0.2734
HG01956	75	7	551	0.2769
HG02061	82	7	558	0.2804
HG02702	88	7	565	0.2839
HG03548	72	7	572	0.2874
HG03708	81	7	579	0.291
HG04060	99	7	586	0.2945
NA18606	91	7	593	0.298
NA19017	84	7	600	0.3015
HG00451	90	6	606	0.3045
HG01242	83	6	612	0.3075
HG02073	100	6	618	0.3106
HG02624	77	6	624	0.3136
HG03073	86	6	630	0.3166
HG03668	100	6	636	0.3196
HG03727	65	6	642	0.3226
HG03771	77	6	648	0.3256
NA18946	96	6	654	0.3286
NA18981	74	6	660	0.3317
NA19360	42	6	666	0.3347
NA19913	97	6	672	0.3377
NA21090	96	6	678	0.3407
HG00368	76	5	683	0.3432
