sample	var_count	new_count	tot_captured	pct_captured
NA19792	115	115	115	0.0575
NA19043	93	45	160	0.08
HG02610	97	37	197	0.0985
HG04003	100	36	233	0.1165
NA19380	97	33	266	0.133
HG02107	95	23	289	0.1445
HG02613	100	20	309	0.1545
HG02574	92	17	326	0.163
HG03166	91	17	343	0.1715
NA20320	90	16	359	0.1795
NA19308	62	15	374	0.187
HG03521	74	14	388	0.194
NA19351	95	14	402	0.201
HG01867	104	12	414	0.207
HG03858	109	12	426	0.213
NA19035	88	12	438	0.219
HG02621	104	11	449	0.2245
HG02029	89	10	459	0.2295
NA19914	83	10	469	0.2345
HG01948	100	9	478	0.239
HG02623	68	9	487	0.2435
HG02852	100	9	496	0.248
HG03175	70	9	505	0.2525
NA19238	79	9	514	0.257
HG02635	94	8	522	0.261
HG02840	102	8	530	0.265
HG00273	64	7	537	0.2685
HG01894	75	7	544	0.272
HG01956	75	7	551	0.2755
HG02061	82	7	558	0.279
HG02702	88	7	565	0.2825
HG03548	72	7	572	0.286
HG03708	81	7	579	0.2895
HG04060	99	7	586	0.293
NA18606	91	7	593	0.2965
NA19017	84	7	600	0.3
HG00451	90	6	606	0.303
HG01242	83	6	612	0.306
HG02073	100	6	618	0.309
HG02624	77	6	624	0.312
HG03073	86	6	630	0.315
HG03668	100	6	636	0.318
HG03727	65	6	642	0.321
HG03771	77	6	648	0.324
NA18946	96	6	654	0.327
NA18981	74	6	660	0.33
NA19360	42	6	666	0.333
NA19913	97	6	672	0.336
NA21090	96	6	678	0.339
HG00368	76	5	683	0.3415
