sample	var_count	new_count	tot_captured	pct_captured
NA20320	57	62	57	0.057
HG00280	41	33	75	0.075
HG02852	52	25	100	0.1
HG03858	59	20	120	0.12
HG02545	44	17	137	0.137
HG02497	35	12	149	0.149
NA19834	43	12	161	0.161
HG03451	31	11	172	0.172
NA21093	40	10	182	0.182
NA19308	26	9	191	0.191
HG01259	36	8	199	0.199
HG03049	49	8	207	0.207
HG01867	51	7	214	0.214
HG02840	53	7	221	0.221
NA19395	29	7	228	0.228
HG00557	53	6	234	0.234
HG01883	27	6	240	0.24
HG01948	55	6	246	0.246
HG02479	34	6	252	0.252
HG02561	33	6	258	0.258
